Name,Code
Lasowice Wielkie,1604032
Żukowice,203062
Kamienna Góra (gmina wiejska),207022
Mielno,3209053
Morawica,2604123
Pietrowice Wielkie,2411072
Goleszów,2403072
Dukla,1807023
Kietrz,1602043
Czyże,2005042
Prusice,220023
Brenna,2403042
Kraśnik (gmina wiejska),607052
Torzym,807053
Potworów,1423052
Obryte,1424022
Praszka,1608043
Radłów – Oleski,1608052
Borzęcin,1202012
Gnojnik,1202052
Zawonia,220052
Wisznia Mała,220042
Wałbrzych,265011
Olsztyn – Częstochowski,2404122
Starcza,2404162
Małomice,810053
Zadzim,1011062
Świercze,1424052
Winnica,1424062
Przytyk,1425092
Jedlnia-Letnisko,1425062
Turawa,1609132
Biała – Prudnicki,1610013
Mielnik,2010052
Jordanów Śląski,223032
Bardo,224013
Drawno,3202033
Jabłonna – Lubelski,609062
Strzyżewice,609122
Niedrzwica Duża,609102
Kołczygłowy,2201042
Regnów,1013052
Błaszki,1014023
Brzeźnio,1014042
Skaryszew,1425103
Korczew,1426022
Sejny (gmina wiejska),2009052
Korycin,2011032
Bolesławiec,201011
Osiecznica,201052
Nieszawa,401031
Nowogard,3204043
Czaplinek,3203013
Milejów,610042
Spiczyn,610062
Wojcieszków,611102
Warta,1014093
Markowa,1810052
Ochotnica Dolna,1211102
Bukowno,1212011
Przeciszów,1213082
Koniusza,1214012
Nowe Brzesko,1214033
Bolków,205023
Kobylanka,3214062
Stara Dąbrowa,3214092
Biała Podlaska,661011
Włodawa,619011
Wyryki,619082
Pelplin,2214043
Sieciechów,1407072
Rakszawa,1810062
Mielec,1811011
Gawłuszowice,1811042
Radomyśl Wielki,1811083
Chełmek,1213033
Stryszawa,1215072
Gromnik,1216022
Kłodzko,208021
Mrocza,410023
Brzuze,412022
Zakopane,1217011
Jabłonka,1211052
Piwniczna-Zdrój,1210133
Krynica-Zdrój,1210073
Urzędów,607083
Zgorzelec (gmina wiejska),225072
Zgorzelec,225021
Złoty Stok,224073
Świeradów-Zdrój,210021
Nowa Ruda (gmina wiejska),208112
Podgórzyn,206082
Zielona Góra,862011
Stepnica,3204073
Skierniewice (gmina wiejska),1015082
Myszyniec,1415083
Rybnik,2473011
Rawa Mazowiecka,1013011
Sędziszów Małopolski,1815043
Tyczyn,1816143
Tarnowskie Góry,2413041
Koszyce,1214023
Lubowidz,1437033
Dobromierz,219032
Łódź,1061011
Cielądz,1013032
Andrzejewo,1416022
Lubawa (gmina wiejska),2807052
Tarnowo Podgórne,3021172
Cewice,2208032
Grudusk,1402052
Sokolniki,1018062
Lututów,1018043
Zaręby Kościelne,1416112
Ostrów Mazowiecka,1416011
Dziwnów,3207013
Trzebiatów,3205083
Puszcza Mariańska,1438032
Stopnica,2601063
Rogoźno,3016023
Sieraków,3014043
Chrzypsko Wielkie,3014012
Ostrów Wielkopolski,3017011
Białośliwie,3019022
Łobżenica,3019043
Mosina,3021103
Mieścisko,3028042
Wągrowiec,3028011
Tuliszków,3027073
Jastrowie,3031023
Kołaczkowo,3030012
Kamieniec,3005032
Rychwał,3010073
Ślesin,3010123
Leszno – Leszno,3063011
Kłecko,3003053
Kościelec,3009082
Przedecz,3009113
Koło,3009011
Olszówka,3009092
Witkowo,3003103
Poniec,3004073
Krzepice,2406023
Sulmierzyce – Krotoszyński,3012011
Krzywiń,3011043
Popów,2406072
Pilchowice,2405042
Boronów,2407022
Herby,2407042
Ruda-Huta,603092
Dorohusk,603042
Wierzbica – Chełmski,603122
Nowe Miasteczko,804063
Drzewica,1007023
Mała Wieś,1419082
Łąck,1419072
Wyszogród,1419153
Kędzierzyn-Koźle,1603011
Cisek,1603032
Sanok (gmina wiejska),1817052
Zaleszany,1818062
Wiązów,217053
Bydgoszcz,461011
Lisewo,404042
Unisław,404072
Będzin,2401011
Hrubieszów (gmina wiejska),604042
Trzeszczany,604062
Godziszów,605042
Chrzanów – Janowski,605022
Kraśniczyn,606062
Krasnystaw,606011
Stare Kurowo,806032
Pabianice,1008021
Strzelce Wielkie,1009072
Siemkowice,1009062
Brwinów,1421033
Lesko,1821033
Grzmiąca,3215052
Szczebrzeszyn,620133
Łęknica,811011
Legionowo,1408011
Sienno,1409052
Jeżowe,1812032
Jarocin – Niżański,1812022
Węgorzyno,3218053
Międzyrzec Podlaski (gmina wiejska),601102
Rusiec,1001062
Kutno,1002011
Krośniewice,1002043
Dąbrowice,1002032
Olszewo-Borki,1415092
Troszyn,1415112
Lipsko,1409033
Jadów,1434062
Przemyśl – Przemyski,1813082
Orły,1813072
Stubno,1813092
Kalwaria Zebrzydowska,1218033
Andrychów,1218013
Mucharz,1218052
Małogoszcz,2602033
Tuczępy,2601072
Solec-Zdrój,2601052
Opatów – Opatowski,2606043
Miedziana Góra,2604102
Masłów,2604092
Mirzec,2611032
Skarżysko Kościelne,2610042
Suchedniów,2610053
Działoszyce,2608013
Kruklanki,2806052
Rychliki,2804082
Milejewo,2804052
Ełk,2805011
Biskupiec – Nowomiejski,2812022
Dywity,2814042
Węgorzewo,2819033
Pieniężno,2802053
Płoskinia,2802062
Lidzbark,2803043
Biskupice,1219012
Lubomierz,212023
Łysomice,415062
Rokitno,601122
Kutno (gmina wiejska),1002062
Wiązowna,1417082
Bieżuń,1437013
Krasne – Rzeszowski,1816092
Cieszków,213012
Krośnice,213022
Bielsko-Biała,2461011
Biłgoraj,602011
Frampol,602053
Księżpol,602082
Rejowiec Fabryczny,603011
Kłodawa – Gorzowski,801042
Świnice Warckie,1004072
Domaniewice,1005042
Łyszkowice,1005082
Nowosolna,1006082
Prażmów,1418052
Brudzeń Duży,1419032
Mszczonów,1438023
Dynów (gmina wiejska),1816052
Juchnowiec Kościelny,2002052
Sadlinki,2207062
Barcin,419013
Goczałkowice-Zdrój,2410012
Rydułtowy,2415031
Mszana,2415092
Radziechowy-Wieprz,2417102
Ślemień,2417122
Szczekociny,2416083
Kampinos,1432032
Cmolas,1806012
Dobczyce,1209013
Grudziądz – Grudziądzki,406012
Świecie nad Osą,406062
Gniewkowo,407033
Manowo,3209042
Markuszów,614072
Wąwolnica,614102
Sulęczyno,2205072
Żukowo,2205083
Skomlin,1017082
Łubnice – Wieruszowski,1018052
Jedlicze,1807043
Raciechowice,1209052
Kamionka Wielka,1210052
Łososina Dolna,1210102
Pielgrzymka,226032
Świerzawa,226043
Złotoryja (gmina wiejska),226062
Kikół,408052
Dobra (Szczecińska),3211012
Wohyń,615082
Ryki,616043
Stare Pole,2209082
Leżajsk  (gmina wiejska),1808042
Kuryłówka,1808032
Nowa Sarzyna,1808053
Oleszyce,1809063
Niechlów,204032
Sławno – Sławieński,3213021
Bełżec,618022
Gozdowo,1427022
Bielany,1429022
Sokołów Podlaski (gmina wiejska),1429082
Nozdrzec,1802062
Jodłowa,1803052
Dębica,1803011
Igołomia-Wawrzeńczyce,1206022
Jerzmanowice-Przeginia,1206042
Wola Mysłowska,611112
Nowa Wieś Lęborska,2208042
Będków,1016022
Rzeczyca,1016082
Konopnica – Wieluński,1017032
Orońsko,1430042
Pilzno,1803063
Laszki,1804052
Jodłownik,1207042
Łukowica,1207082
Nowe Piekuty,2013072
Rutki,2014032
Koronowo,403043
Cedynia,3206023
Susz,2807063
Lwówek,3015023
Spytkowice – Nowotarski,1211132
Czarnków (gmina wiejska),3002022
Krzanowice,2411033
Hażlach,2403082
Wisła,2403031
Michałowo,2002073
Kościelisko,1217042
Świdnica – Świdnicki,219011
Marcinowice,219052
Oborniki Śląskie,220013
Skoczów,2403103
Kraśnik,607011
Szastarka,607062
Żółkiewka,606112
Przysucha,1423063
Gielniów,1423022
Gzy,1424012
Olesno – Oleski,1608033
Murów,1609062
Brzesko,1202023
Bochnia (gmina wiejska),1201022
Przytuły,2007062
Jedwabne,2007013
Jedlina-Zdrój,221021
Blachownia,2404013
Janów – Częstochowski,2404032
Lelów,2404092
Mykanów,2404112
Zakrzówek,607102
Niedźwiada,608092
Kargowa,809043
Dalików,1011012
Kowala,1425072
Bolesław – Dąbrowski,1204012
Jaświły,2008032
Kobierzyce,223052
Recz,3202063
Studzienice,2201082
Przedbórz,1012113
Zakrzew – Radomski,1425132
Jemielnica,1611022
Grodków,1601033
Lewin Brzeski,1601043
Bobowa,1205033
Iwanowice,1206032
Krynki,2011043
Suchowola,2011093
Bolesławiec (gmina wiejska),201022
Warta Bolesławiecka,201062
Nowogrodziec,201043
Raciążek,401072
Cyców,610012
Serokomla,611062
Łuków (gmina wiejska),611052
Klonowa,1014072
Wróblew,1014102
Platerów,1410042
Młynarze,1411052
Sypniewo,1411092
Gostynin (gmina wiejska),1404022
Milanówek,1405011
Podkowa Leśna,1405021
Łańcut,1810011
Olkusz,1212053
Dobrzyń nad Wisłą,408043
Lipno (gmina wiejska),408062
Mogilno,409033
Szczecinek (gmina wiejska),3215062
Skierbieszów,620102
Kaliska,2213052
Subkowy,2214052
Latowicz,1412102
Grójec,1406053
Żołynia,1810072
Szubin,410053
Wąpielsk,412062
Krościenko nad Dunajcem,1211062
Międzylesie,208103
Lądek-Zdrój,208083
Bystrzyca Kłodzka,208063
Duszniki-Zdrój,208011
Szklarska Poręba,206041
Karpacz,206011
Otyń,804073
Łagów – Kielecki,2604073
Lubycza Królewska,618053
Zamość – Zamojski,620142
Knyszyn,2008043
Bartoszyce,2801011
Szydłów,2612083
Pabianice (gmina wiejska),1008072
Dobrzeń Wielki,1609032
Czarna Woda,2213013
Nowy Korczyn,2601033
Konin,3062011
Wielbark,2817083
Poznań,3064011
Osieczna – Leszczyński,3013033
Wijewo,3013062
Szamocin,3001053
Krzyż Wielkopolski,3002043
Odolanów,3017033
Miedzichowo,3015032
Doruchów,3018022
Sośnie,3017082
Pleszew,3020063
Zaniemyśl,3025052
Dolsk,3026023
Dominowo,3025012
Damasławek,3028022
Wapno,3028062
Września,3030053
Siedlec,3029022
Przemęt,3029012
Rzgów – Koniński,3010082
Koźminek,3007052
Ceków-Kolonia,3007032
Godziesze Wielkie,3007042
Lisków,3007062
Gniezno (gmina wiejska),3003032
Grzegorzew,3009052
Niechanowo,3003082
Grodzisk Wielkopolski,3005023
Miedźno,2406042
Przystajń,2406082
Kochanowice,2407052
Pyskowice,2405021
Panki,2406062
Buczkowice,2402032
Skwierzyna,803053
Siedlisko,804082
Słupno,1419122
Joniec,1420062
Płońsk (gmina wiejska),1420092
Pawłowiczki,1603042
Strzeleczki,1605032
Walce,1605042
Sanok,1817011
Bojanów,1818022
Frysztak,1819022
Czudec,1819012
Niebylec,1819032
Bielsk Podlaski,2003011
Rudka,2003072
Chełmno,404011
Dołhobyczów,604022
Krzeszyce,807012
Dobroń,1008042
Dłutów,1008032
Raszyn,1421062
Chorzele,1422023
Łambinowice,1607042
Korfantów,1607033
Nysa,1607053
Skoroszyce,1607092
Połczyn-Zdrój,3216033
Stary Zamość,620112
Zwierzyniec,620153
Żary,811021
Wiśniewo,1413102
Stupsk,1413062
Nasielsk,1414043
Serock,1408043
Solec nad Wisłą,1409062
Biały Dunajec,1217022
Chojnów (gmina wiejska),209022
Lubań,210011
Kamień Krajeński,413013
Pruszcz,414082
Żary (gmina wiejska),811102
Sława,812013
Kluki,1001052
Nowe Ostrowy,1002082
Lelis,1415062
Boguty-Pianki,1416032
Wadowice,1218093
Sobków,2602082
Oksa,2602052
Gnojno,2601022
Skalbmierz,2603053
Daleszyce,2604053
Raków,2604162
Strawczyn,2604182
Ruda Maleniecka,2605052
Zagnańsk,2604192
Łoniów,2609052
Obrazów,2609062
Tarłów,2606072
Wąchock,2611053
Wojciechowice,2606082
Starachowice,2611011
Bałtów,2607022
Stare Juchy,2805052
Radków – Włoszczowski,2613042
Secemin,2613052
Korsze,2808043
Kętrzyn,2808011
Lubomino,2809042
Nowe Miasto Lubawskie,2812011
Jeziorany,2814063
Janowo,2811022
Sorkwity,2810052
Grodziczno,2812032
Łukta,2815042
Szczytno (gmina wiejska),2817062
Purda,2814102
Rybno – Działdowski,2803062
Płośnica,2803052
Działdowo (gmina wiejska),2803022
Chodzież,3001011
Tarnów – Tarnów,1263011
Chełmża,415011
Cekcyn,416012
Lubiewo,416042
Daszyna,1004022
Kołbiel,1417052
Sobienie-Jeziory,1417072
Przeworsk (gmina wiejska),1814062
Ostrów,1815022
Wieliczka,1219053
Bargłów Kościelny,2001032
Kostomłoty,218012
Miękinia,218032
Środa Śląska,218043
Bierutów,214023
Dziadowa Kłoda,214042
Międzybórz,214053
Boniewo,418032
Biszcza,602042
Obsza,602102
Witnica,801073
Chąśno,1005032
Łowicz (gmina wiejska),1005072
Radziejowice,1438042
Hyżne,1816072
Sokołów Małopolski,1816113
Kwidzyn (gmina wiejska),2207032
Jelcz-Laskowice,215033
Janowiec Wielkopolski,419033
Żnin,419063
Gliwice,2466011
Racibórz,2411011
Pawłowice,2410042
Bojszowy,2414042
Miasteczko Śląskie,2413021
Irządze,2416032
Gilowice,2417032
Łochów,1433053
Stoczek,1433082
Raniżów,1806052
Kozłów,1208032
Siepraw,1209062
Radzyń Chełmiński,406043
Gruta,406022
Kołobrzeg,3208011
Gościno,3208033
Kołobrzeg (gmina wiejska),3208042
Siemyśl,3208062
Będzino,3209012
Sosnowica,613072
Baranów – Puławski,614022
Stężyca – Kartuski,2205062
Nowa Karczma,2206072
Bolesławiec – Wieruszowski,1018012
Ciechanów (gmina wiejska),1402022
Ciechanów,1402011
Gródek nad Dunajcem,1210032
Wrocław,264011
Piława Górna,202041
Police,3211043
Radzyń Podlaski,615011
Miłoradz,2209062
Ostaszewo,2210032
Sztutowo,2210052
Wieruszów,1018073
Zgierz,1020031
Ozorków (gmina wiejska),1020062
Zgierz (gmina wiejska),1020092
Jeżów,1021042
Maciejowice,1403072
Sobolew,1403112
Przelewice,3212042
Dobrzany,3214033
Dębnica Kaszubska,2212032
Lipce Reymontowskie,1015052
Sierpc,1427011
Szczutowo,1427062
Ceranów,1429032
Dydnia,1802032
Sułoszowa,1206132
Raczki,2012052
Bądkowo,401052
Aleksandrów Kujawski (gmina wiejska),401042
Brodnica,402011
Bartniczka,402062
Jabłonowo Pomorskie,402073
Gryfice,3205023
Kamień Pomorski,3207033
Chodel,612012
Wilków – Opolski,612072
Cedry Wielkie,2204022
Chmielno,2205012
Czarnożyły,1017022
Młodzieszyn,1428042
Rybno – Sochaczewski,1428062
Wielka Wieś,1206152
Dobra – Limanowski,1207032
Mszana Dolna,1207021
Niedźwiedź,1207102
Tymbark,1207122
Kulesze Kościelne,2013062
Kobylin-Borzymy,2013052
Osielsko,403062
Stare Czarnowo,3206072
Trzcińsko-Zdrój,3206083
Opalenica,3015053
Głogów,203011
Sępopol,2801063
Stargard (gmina wiejska),3214102
Dobrzyca,3020033
Giby,2009022
Płaska,2001062
Ustroń,2403021
Białowieża,2005022
Krempna,1805062
Głubczyce,1602033
Branice,1602022
Przemyśl – Przemyśl,1862011
Hajnówka,2005011
Narew,2005082
Siennica Różana,606102
Wilkołaz,607092
Sulęcin,807043
Wolbórz,1010113
Aleksandrów – Piotrkowski,1010012
Odrzywół,1423042
Wieniawa,1423082
Rudniki,1608062
Zębowice,1608072
Dębno – Brzeski,1202042
Szczurowa,1202072
Nowy Wiśnicz,1201063
Łapanów,1201052
Dąbrowa Zielona,2404022
Jeziorzany,608042
Firlej,608032
Kamionka,608052
Ostrów Lubelski,608103
Serniki,608122
Nowogród Bobrzański,809053
Wymiarki,810082
Kodrąb,1012072
Zatory,1424072
Jedlińsk,1425052
Tarnów Opolski,1609112
Rzezawa,1201072
Dąbrowa Tarnowska,1204023
Milejczyce,2010062
Drohiczyn,2010023
Grodzisk,2010042
Nurzec-Stacja,2010072
Mietków,223062
Sobótka,223073
Pełczyce,3202053
Uścimów,608132
Konopnica – Lubelski,609082
Głusk,609052
Jastków,609072
Wojciechów,609132
Borzytuchom,2201012
Bytów,2201023
Żytno,1012142
Sieradz,1014011
Paprotnia,1426062
Wiśniew,1426112
Skórzec,1426092
Suchożebry,1426102
Zbuczyn,1426132
Szczucin,1204073
Moszczenica – Gorlicki,1205072
Siemiatycze (gmina wiejska),2010092
Dąbrowa Białostocka,2011013
Janów – Sokólski,2011022
Osina,3204052
Wólka,609142
Łuków,611011
Krzywda,611042
Ustka (gmina wiejska),2212102
Bobowo,2213042
Sarnaki,1410052
Klucze,1212042
Zator,1213093
Jordanów,1215011
Bystra-Sidzina,1215042
Budzów,1215032
Jeżów Sudecki,206062
Kamienna Góra,207011
Strzelno,409043
Hanna,619022
Włodawa (gmina wiejska),619062
Sułów,620122
Halinów,1412073
Kałuszyn,1412093
Garbatka-Letnisko,1407012
Przecław,1811073
Polanka Wielka,1213072
Maków Podhalański,1215063
Zembrzyce,1215092
Skrzyszów,1216082
Sadki,410042
Czarny Dunajec,1211032
Uście Gorlickie,1205102
Mieroszów,221063
Radków – Kłodzki,208123
Piechowice,206031
Zaklików,1818053
Komprachcice,1609042
Tułowice,1609123
Włocławek (gmina wiejska),418132
Alwernia,1203013
Gozdnica,810011
Brusy,2202023
Kowale Oleckie,2813032
Krzykosy,3025022
Szemud,2215092
Władysławowo,2211043
Złocieniec,3203063
Głogów Małopolski,1816063
Nowa Słupia,2604133
Paszowice,205052
Nieborów,1005092
Miastkowo,2007032
Śniadowo,2007072
Szumowo,2014042
Bolimów,1015012
Chrząstowice,1609012
Człuchów (gmina wiejska),2203032
Wierzchowo,3203052
Lubawa,2807021
Suchy Las,3021152
Słupia Konecka,2605062
Wierzchlas,1017102
Pątnów,1017072
Kosów Lacki,1429053
Brok,1416043
Rewal,3205072
Bogoria,2612012
Kwilcz,3014022
Międzychód,3014033
Przygodzice,3017052
Raszków,3017063
Miasteczko Krajeńskie,3019052
Gizałki,3020042
Wyrzysk,3019083
Pobiedziska,3021123
Pyzdry,3030043
Mieleszyn,3003072
Borek Wielkopolski,3004013
